sp lt dt diaml1 diaml2 diaml3 diamd1 diamd2 diamd3 hmean hmax dim1 dim2 hmd UTM_X UTM_Y name
C.hum 14 24 NA NA NA NA NA NA 65 83 130 168 NA 690844 4162655 RS100
C.hum 14 8 NA NA NA NA NA NA 75 100 245 175 NA 690844 4162580 RS105
C.hum 9 3 NA NA NA NA NA NA 84 96 172 223 NA 691598 4162987 RS11
C.hum 12 5 NA NA NA NA NA NA 70 78 177 148 NA 690833 4162534 RS111
C.hum 5 3 NA NA NA NA NA NA 50 67 144 182 NA 690842 4162496 RS112
C.hum 11 7 NA NA NA NA NA NA 62 80 214 244 NA 690655 4162549 RS118
C.hum 13 23 NA NA NA NA NA NA 75 105 218 182 NA 690664 4162709 RS122
C.hum 8 3 NA NA NA NA NA NA 73 87 202 137 NA 690647 4162714 RS123
C.hum 13 18 NA NA NA NA NA NA 82 96 197 105 NA 690647 4162657 RS127
C.hum 11 6 NA NA NA NA NA NA 115 141 250 183 NA 691740 4163168 RS132
C.hum 10 9 NA NA NA NA NA NA 42 81 236 87.5 NA 691596 4162973 RS15
C.hum 7 9 NA NA NA NA NA NA 48 62 125 93 NA 687808 4162105 RS151
C.hum 4 4 NA NA NA NA NA NA 120 130 142 196 NA 687814 4162069 RS155
C.hum 7 5 NA NA NA NA NA NA 69 101 174 116 NA 687814 4162069 RS155
C.hum 7 10 NA NA NA NA NA NA 50 76 208 74 NA 687817 4162069 RS156
C.hum 10 5 NA NA NA NA NA NA 90 120 183 174 NA 687812 4162061 RS157
C.hum 6 3 NA NA NA NA NA NA 40 70 168 120 NA 687813 4162053 RS158
C.hum 8 4 NA NA NA NA NA NA 100 132 238 168 NA 687813 4162053 RS158
C.hum 4 10 NA NA NA NA NA NA 45 68 122 106 NA 687895 4162107 RS162
C.hum 8 9 NA NA NA NA NA NA 62 75 195 217 NA 687895 4162107 RS162
C.hum 2 4 NA NA NA NA NA NA 52 70 128 96 NA 687894 4162104 RS163
C.hum 7 19 NA NA NA NA NA NA 76 143 18 226 NA 687892 4162091 RS164
C.hum 5 8 NA NA NA NA NA NA 90 112 188 163 NA 687889 4162088 RS166
C.hum 22 15 NA NA NA NA NA NA 95 107 196 390 NA 687889 4162088 RS166
C.hum 5 7 NA NA NA NA NA NA 78 112 142 149 NA 687903 4162060 RS170
C.hum 3 3 NA NA NA NA NA NA 66 90 118 168 NA 687903 4162059 RS171
C.hum 1 2 NA NA NA NA NA NA 77 114 113 103 NA 687902 4162051 RS173
C.hum 3 7 NA NA NA NA NA NA 80 154 113 100 NA 687884 4162033 RS177
C.hum 15 21 NA NA NA NA NA NA 95 114 208 157 NA 691555 4162974 RS18
C.hum 3 19 NA NA NA NA NA NA 38 63 202 140 NA 687894 4162010 RS180
C.hum 10 11 NA NA NA NA NA NA 110 136 218 215 NA 687906 4162012 RS182
C.hum 6 3 NA NA NA NA NA NA 85 116 146 155 NA 687901 4161997 RS183
C.hum 3 8 NA NA NA NA NA NA 80 100 108 154 NA 687896 4161963 RS189
C.hum 14 7 NA NA NA NA NA NA 130 170 305 186 NA 687904 4161884 RS196
C.hum 27 11 NA NA NA NA NA NA 120 158 386 483 NA 687894 4161868 RS198
C.hum 18 3 NA NA NA NA NA NA 53 73 73 128 NA 687902 4161864 RS199
C.hum 8 15 NA NA NA NA NA NA 50 56 124 95 NA 691646 4163246 RS207
C.hum 7 11 NA NA NA NA NA NA 120 137 202 178 NA 691639 4163272 RS210
C.hum 11 8 NA NA NA NA NA NA 110 124 257 236 NA 691648 4163310 RS213
C.hum 6 3 NA NA NA NA NA NA 50 58 141 98 NA 691643 4163342 RS215
C.hum 36 24 NA NA NA NA NA NA 115 138 374 270 NA 691086 4163395 RS216
C.hum 7 1 NA NA NA NA NA NA 40 60 114 104 NA 691080 4163426 RS218
C.hum 4 12 NA NA NA NA NA NA 39.5 53 63 54 48 691732 4163209 RS22
C.hum 7 6 NA NA NA NA NA NA 70 88 181 122 NA 691081 4163446 RS222
