sp lt dt diaml1 diaml2 diaml3 diamd1 diamd2 diamd3 hmean hmax dim1 dim2 hmd name
J.oxy 1 0 4.45 NA NA NA NA NA 139 139 65 72 NA NQ1
R.lyc 1 0 1.18 NA NA NA NA NA 159 159 154 50 NA NQ2
R.lyc 1 0 1.59 NA NA NA NA NA 160 160 82 68 NA NQ2
J.oxy 3 3 2.28 1.84 1.76 2.13 1.22 1.07 115 148 144 82 89 NQ3
J.oxy 1 0 5.41 NA NA NA NA NA 133 133 182 172 NA NQ4
J.oxy 3 0 1.12 0.73 NA NA NA NA 48 54 88 59 NA NQ4
J.oxy 2 1 1.55 1.27 NA 0.54 NA NA 68 84 68 42 4 NQ4
J.oxy 2 1 2.29 1.45 NA 2.04 NA NA 85 94 145 83 22 NQ4
J.oxy 1 0 1.18 NA NA NA NA NA 24 24 45 52 NA NQ4
J.oxy 1 0 0.24 NA NA NA NA NA 15 15 16 17 NA NQ4
J.oxy 1 0 0.73 NA NA NA NA NA 28 28 39 30 NA NQ4
J.oxy 1 0 1.32 NA NA NA NA NA 67 67 40 34 NA NQ4
J.oxy 2 0 2.51 2.45 NA NA NA NA 80 86 92 64 NA NQ5
J.oxy 2 0 3.14 2.78 NA NA NA NA 88 108 108 104 NA NQ6
J.oxy 4 6 2 1.24 0.69 1.04 1.01 0.89 78 105 123 81 58 NQ7
J.oxy 3 0 2.98 2.57 2.44 NA NA NA 130 188 153 196 NA NQ7
J.oxy 7 1 2.57 2.01 1.86 0.68 NA NA 82 111 128 123 36 NQ8
J.oxy 1 1 2.21 NA NA 1.62 NA NA 100 100 71 70 42 NQ8
J.oxy 4 4 2.92 2.41 2.27 1.79 1.26 0.93 86 168 136 122 154 NQ8
J.oxy 2 0 2.57 1.08 NA NA NA NA 48 65 67 70 NA NQ8
J.oxy 1 0 2.27 NA NA NA NA NA 111 111 63 73 NA NQ8
J.oxy 1 0 2.96 NA NA NA NA NA 89 89 92 73 NA NQ8
J.oxy 1 0 5.36 NA NA NA NA NA 220 220 185 163 NA NQ9
J.oxy 4 3 9.87 5.35 4.99 2.51 1.86 1.43 175 257 227 346 55 NQ9
J.oxy 10 0 7.37 6.41 6.21 NA NA NA 290 401 406 474 NA NQ9
R.lyc 4 3 5.91 5.18 4.38 2.54 2.37 2.06 165 199 203 281 145 NQ10
J.oxy 2 0 4.47 2.92 NA NA NA NA 120 214 144 107 NA NQ11
J.oxy 5 1 4.09 4.27 3.98 1.16 NA NA 156 198 293 353 63 NQ12
J.oxy 1 0 4.51 NA NA NA NA NA 171 171 178 163 NA NQ14
R.lyc 7 0 1.16 1.09 0.94 NA NA NA 150 194 111 121 NA NQ15
J.oxy 2 6 10.34 2.64 NA 3.41 3.27 2.09 270 315 236 310 NA NQ16
R.lyc 7 0 4.05 3.46 2.43 NA NA NA 2 2.3 267 300 NA NQ17
J.oxy 1 0 3.37 NA NA NA NA NA 175 175 133 164 NA NQ18
R.lyc 2 0 1.61 1.28 NA NA NA NA 172 172 149 97 NA NQ18
J.oxy 1 0 3.56 NA NA NA NA NA 126 154 140 145 NA NQ19
O.ole 4 0 1.17 0.89 0.56 NA NA NA 110 134 87 65 NA NQ19
O.ole 7 0 0.94 0.82 0.65 NA NA NA 69 91 61 68 NA NQ19
O.ole 1 0 0.69 NA NA NA NA NA 102 102 22 16 NA NQ19
R.lyc 1 0 1.48 NA NA NA NA NA 194 194 65 92 NA NQ19
J.oxy 3 0 1.92 1.73 1.66 NA NA NA 118 166 82 64 NA NQ20
R.lyc 1 0 2.98 NA NA NA NA NA 177 210 271 339 NA NQ21
J.oxy 5 3 4.58 4.42 4.35 2.07 1.64 1.16 138 196 235 223 NA NQ22
R.lyc 1 0 1.64 NA NA NA NA NA 189 189 162 112 NA NQ22
P.len 3 0 2.03 1.77 1.45 NA NA NA 197 216 226 223 NA NQ23
O.ole 2 0 1.25 0.84 NA NA NA NA 110 222 68 61 NA NQ24
J.oxy 3 1 2.78 2.73 2.29 1.48 NA NA 100 120 121 171 NA NQ25
R.lyc 2 0 1.78 0.77 NA NA NA NA 167 167 89 90 NA NQ26
R.lyc 2 0 3.13 1.33 NA NA NA NA 156 224 110 132 NA NQ27
R.lyc 8 0 3.57 3.46 3.22 NA NA NA 181 242 172 162 NA NQ28
R.lyc 12 0 1.96 1.24 1.23 NA NA NA 87 87 176 103 NA NQ29
R.lyc 8 0 3.22 2.78 2.32 NA NA NA 115 115 291 164 NA NQ30
J.oxy 1 0 2.28 NA NA NA NA NA 149 149 88 100 NA NQ31
R.lyc 1 0 3.24 NA NA NA NA NA 135 135 139 151 NA NQ32
J.oxy 3 1 5.61 3.41 3.08 3.13 NA NA 126 203 177 271 NA NQ33
J.oxy 2 0 2.37 1.11 NA NA NA NA 80 125 85 63 NA NQ34
J.oxy 4 0 2.82 2.32 1.31 NA NA NA 103 143 105 103 NA NQ35
R.lyc 2 0 2.7 2.54 NA NA NA NA 130 170 172 121 NA NQ36
J.oxy 2 0 2.12 2.06 NA NA NA NA 88 130 130 94 NA NQ37
R.lyc 2 0 1.98 1.82 NA NA NA NA 124 201 137 110 NA NQ37
P.ang 5 0 1.77 1.63 1.54 NA NA NA 77 97 178 104 NA NQ38
O.lan 8 0 3.81 2.47 2.23 NA NA NA 117 138 181 162 NA NQ39
O.lan 4 0 3.96 3.17 2.36 NA NA NA 130 196 140 91 NA NQ40
O.lan 3 0 2.68 2.33 2.32 NA NA NA 110 144 78 86 NA NQ41
P.ang 14 0 2.17 2.13 1.74 NA NA NA 102 115 213 217 NA NQ42
O.lan 4 0 4.01 3.35 2.38 NA NA NA 115 137 152 111 NA NQ43
O.lan 4 0 5.42 4.97 3.64 NA NA NA 137 165 218 222 NA NQ44
O.lan 3 0 4.95 3.9 3.66 NA NA NA 130 156 207 182 NA NQ45
O.lan 6 0 3.15 2.94 1.24 NA NA NA 118 129 116 129 NA NQ45
